CompVar,Company,Variety,SeedTreatment,Location,Trait,Value,Region
GROWMARK_FS_604,GROWMARK,FS_604,C,Elkville,testweight,59.9,SIL
GROWMARK_FS_615,GROWMARK,FS_615,C,Elkville,testweight,57.7,SIL
GROWMARK_FS_624,GROWMARK,FS_624,C,Elkville,testweight,57.73,SIL
GROWMARK_WX19A,GROWMARK,WX19A,C,Elkville,testweight,57.6,SIL
GROWMARK_WX19B,GROWMARK,WX19B,C,Elkville,testweight,59.27,SIL
Hoffman_Seed_H7W15,Hoffman_Seed,H7W15,NA,Elkville,testweight,59.97,SIL
Hoffman_Seed_H7W16,Hoffman_Seed,H7W16,NA,Elkville,testweight,59.7,SIL
Hoffman_Seed_H7W19,Hoffman_Seed,H7W19,NA,Elkville,testweight,53.23,SIL
Hoffman_Seed_H7W28,Hoffman_Seed,H7W28,NA,Elkville,testweight,60.45,SIL
Kitchen_Seed_Company_KSC_416,Kitchen_Seed_Company,KSC_416,G,Elkville,testweight,59.77,SIL
Kitchen_Seed_Company_KSC_417,Kitchen_Seed_Company,KSC_417,G,Elkville,testweight,59.15,SIL
Kitchen_Seed_Company_KSC_418,Kitchen_Seed_Company,KSC_418,G,Elkville,testweight,57.43,SIL
KWS_Cereals_KWS19X03,KWS_Cereals,KWS19X03,C,Elkville,testweight,57.65,SIL
KWS_Cereals_KWS19X07,KWS_Cereals,KWS19X07,C,Elkville,testweight,60.23,SIL
KWS_Cereals_KWS19X09,KWS_Cereals,KWS19X09,C,Elkville,testweight,57,SIL
LCS_AMMO,LCS,AMMO,NA,Elkville,testweight,57.93,SIL
Limagrain_L11548,Limagrain,L11548,G,Elkville,testweight,56.83,SIL
Limagrain_L11713,Limagrain,L11713,G,Elkville,testweight,58.27,SIL
Pioneer_25R61,Pioneer,25R61,C,Elkville,testweight,58.77,SIL
Pioneer_25R74,Pioneer,25R74,C,Elkville,testweight,55.53,SIL
Pioneer_25R77,Pioneer,25R77,C,Elkville,testweight,57.5,SIL
ProHarvest_286,ProHarvest,286,G,Elkville,testweight,58.77,SIL
